Rule_ID,Domain,Sub_Category,Rule_Name,Rule_Type,Regulatory_Standards_Source,Jurisdiction_Scope,Trigger_Condition,Business_Logic_Threshold,Precedence_Conflict_Resolution,Lifecycle_Phase,Owning_System_Domain_Holon,Source_Document,Notes
PAY-001,Payroll & Tax,Wage & Hour,Federal FLSA Exemption Salary Threshold & Duties Test,Threshold,FLSA (federal),Federal,Employee classified exempt/non-exempt for payroll processing,Salary must meet federal minimum salary level AND pass duties test to qualify exempt,Overridden by any higher state threshold (see PAY-002),Run,Payroll & Tax Domain Holon (isp-pay),DOC1,Monitored continuously as DOL updates federal levels.
PAY-002,Payroll & Tax,Wage & Hour,State Exemption Salary Thresholds Override Federal,Obligation,"State labor codes (e.g., CA, NY, WA)","State (CA, NY, WA, others)",State threshold exists for worker's jurisdiction,"Effective threshold = MAX(federal, applicable state threshold)",Most-stringent-rule / highest-employee-protection principle (GOV-009),Run,Payroll & Tax Domain Holon,DOC1; DOC3,Cross-jurisdiction resolution executed via Rule Harmonization Engine SPARQL scan (GOV-008).
PAY-003,Payroll & Tax,Worker Classification,DOL Multi-Factor Economic Reality Test,Obligation,DOL / Fair Labor Standards Act,Federal,Worker engaged as 1099 independent contractor,Apply multi-factor economic-reality analysis before contractor classification is finalized,Superseded by stricter state ABC test where applicable (PAY-004),Run,Payroll & Tax Domain Holon,DOC1,
PAY-004,Payroll & Tax,Worker Classification,State 'ABC' Test for Contractor Status,Prohibition,"State statutes (e.g., CA AB5-style ABC tests)",State,Worker engaged as 1099 in an ABC-test state,"Contractor status denied unless all 3 ABC prongs satisfied (control, outside usual course of business, independently established trade)",Takes precedence over federal economic-reality test when state test is stricter,Run,Payroll & Tax Domain Holon,DOC1,
PAY-005,Payroll & Tax,Overtime,California Daily Overtime - Tier 1,Obligation,California Labor Code Section 510,US-CA,Non-exempt worker's daily hours > 8.0 and <= 12.0,Overtime rate multiplier = 1.5x base rate,N/A - jurisdiction-specific daily rule overrides federal weekly-only threshold,Run,Payroll & Tax Domain Holon (isp-pay:CADailyOvertimeNorm),DOC3,Canonical LKIF Obligation + SHACL Shape isp-pay:CADailyOvertimeShape; compiled to dbt/SQL check + OPA/Rego policy.
PAY-006,Payroll & Tax,Overtime,California Daily Overtime - Tier 2 (Double-Time),Obligation,California Labor Code Section 510,US-CA,Non-exempt worker's daily hours > 12.0,Overtime rate multiplier = 2.0x base rate,N/A,Run,Payroll & Tax Domain Holon,DOC3,"Same compiled artifact family as PAY-005 (excessDailyThresholdHours=12.0, excessRateMultiplier=2.0)."
PAY-007,Payroll & Tax,Overtime,Alaska & Nevada Daily/24-Hour Overtime Rules,Obligation,AK & NV state labor codes (incl. NV 24-hr rule),"US-AK, US-NV",Non-exempt worker exceeds state daily/24-hour threshold,Apply state-specific daily OT multiplier per jurisdiction rule set,Highest-employee-protection rule governs vs. federal weekly-only standard,Run,Payroll & Tax Domain Holon,DOC1; DOC2,
PAY-008,Payroll & Tax,Overtime,Federal Weekly Overtime (FLSA 40-hour rule),Obligation,FLSA (federal),Federal,Non-exempt worker's workweek hours > 40,Overtime rate multiplier = 1.5x base rate for hours beyond 40/week,Baseline rule; superseded by stricter state daily OT rules where applicable,Run,Payroll & Tax Domain Holon,DOC1; DOC3,
PAY-009,Payroll & Tax,Scheduling,Predictive Scheduling / Fair Workweek Laws,Obligation,State/municipal predictive scheduling ordinances,State/Local (varies),Employer changes posted schedule within statutory notice window,Trigger predictability pay / advance-notice penalty per local ordinance,N/A,Design/Develop,Payroll & Tax Domain Holon,DOC1,
PAY-010,Payroll & Tax,Breaks,Meal & Rest Period Penalty Pay,Obligation,"State meal/rest break statutes (e.g., CA)",State (varies),"Required meal/rest period missed, shortened, or delayed","Assess statutory penalty pay (e.g., one additional hour of pay per violation)",N/A,Run,Payroll & Tax Domain Holon,DOC1,
